nama_toko,nama_produk,harga_produk,jumlah_review,banyak_ukuran
HUGO BOSS,Boss Bottled Eau De Toilette,2000000,73,1
OUAI,Melrose Place Eau de Parfum,1398000,615,2
Dolce&Gabbana,Light Blue Pour Homme Eau Intense,1580000,48,1
HUGO BOSS,Boss The Scent For Her Eau De Parfum,2600000,14,1
GIVENCHY,Irresistible Eau De Toilette,1825000,409,3
Ferragamo,Savane Di Seta Eau De Parfum,1900000,1,2
DIOR,Miss Dior Eau de Parfum Roller Pearl,1250000,100,1
Coach,Blue Eau De Toilette,1210000,32,3
Narciso Rodriguez,For Her Musc Noir Rose Eau De Parfum,3050000,36,3
Narciso Rodriguez,For Her Pure Musc Eau De Parfum,3050000,67,1
Juliette Has a Gun,Not A Perfume Superdose Eau De Parfum,3175000,201,1
Dolce&Gabbana,The One For Men Gold Eau de Parfum Intense,2150000,1,1
Jimmy Choo,Illicit Eau De Parfum,2180000,0,1
GIVENCHY,Gentleman Society Eau De Parfum,1785000,28,2
MCM,MCM Collection Jolly Rabbit,2680000,0,1
Armani Beauty,Stronger With You Intensely Pour Homme Eau De Parfum,2250000,0,1
Armani Beauty,ARMANI MY WAY CHIC SUMMER MOMENTS SET,2850000,0,1
Armani Beauty,Si Eau De Parfum,2990000,0,1
Armani Beauty,Acqua Di Giò Parfum,1700000,0,1
Armani Beauty,Stronger With You Parfum,2485000,0,1
Armani Beauty,My Way Le Parfum,2255000,0,1
Ferragamo,FIAMMA,1380000,0,1
Rabanne,Lady Million Eau De Parfum,2000000,408,2
FRESH,Hesperides Grapefruit Eau de Parfum,1950000,1,3
Narciso Rodriguez,Narciso Cristal Eau De Parfum,3000000,12,2
